Code;Description
FF;Eignung des Bodens für landwirtschaftliche Nutzung, insbesondere durch Hangneigung und Bodenfruchtbarkeit.
MAT;Potenzial zur Holzproduktion in einer nachhaltigen Forstwirtschaft.
WY;Menge an jährlich verfügbarer Wassermenge, die durch das Einzugsgebiet bereitgestellt wird.
REC;Potenzial zur Erholung basierend auf Zugang, Nähe zu Wegen und landschaftlicher Vielfalt.
LI;Ästhetisches Potenzial einer Landschaft für das Fotografieren von Naturmotiven.
ID;Vorkommen von emblematischen Arten, die als Symbol für alpine Landschaften gesehen werden.
SR;Kapazität der Landschaft, Erosion zu verhindern und Sediment zurückzuhalten.
CAR:Menge an Kohlenstoff, die in der oberirdischen Biomasse gespeichert ist.
AIR;Fähigkeit der Vegetation, Feinstaub (PM10) aus der Luft zu filtern.
HAB;Biodiversitätsfreundlichkeit eines Gebiets, basierend auf Habitaten und Landschaftsvielfalt.
