Frage;Option A;Option B;Subkategorie A;Kategorie A;Subkategorie B;Kategorie B
Was macht eine Umgebung für dich schöner?;Wege, die dich zum Entspannen und Entdecken führen;weitläufige Wiesen, die an traditionelles Landleben erinnern;Recreational Potential (REC);Cultural services;Suitability for Agriculture (FF);Provisioning
Was macht eine Umgebung für dich schöner?;Ufer, die fest und natürlich erscheinen;Wälder, die nach Arbeit und Holz duften;Sediment Retention (SR);Regulation & maintaining;Wood Provision Potential (MAT);Provisioning
Was gibt dir eher ein gutes Gefühl?;eine Szenerie, die du sofort fotografieren willst;Spuren von Tieren, die typisch für diese Landschaft sind;Picture Taking (LL);Cultural services;Emblematic Species (ID);Cultural services
Was gefällt dir mehr in einer Landschaft?;ein wilder, artenreicher Ort voller Leben;eine frische, klare Luft, die durch viel Grün gefiltert scheint;Habitat Quality (HAB);Regulation & maintaining;Removal of PM10 by Vegetation (AIR);Regulation & maintaining
Was wirkt auf dich stimmungsvoller?;eine lebendige Vielfalt von Pflanzen und Tieren, die du kaum alle wahrnehmen kannst;eine Landschaft, die nach Wasser klingt und riecht;Habitat Quality (HAB);Regulation & maintaining;Annual Water Yield (WY);Provisioning
Was gefällt dir mehr in einer Landschaft?;eine frische, klare Luft, die durch viel Grün gefiltert scheint;Spuren von Tieren, die typisch für diese Landschaft sind;Removal of PM10 by Vegetation (AIR);Regulation & maintaining;Emblematic Species (ID);Cultural services
Woran würdest du dich eher erfreuen?;ruhige Waldstücke mit geraden, hohen Bäumen;ein dichter, stiller Wald mit kraftvoller Atmosphäre;Wood Provision Potential (MAT);Provisioning;Carbon Stored Biomass (CAR);Regulation & maintaining
Was macht eine Umgebung für dich schöner?;eine Szenerie, die du sofort fotografieren willst;ein Bachlauf, der ruhig und klar wirkt;Picture Taking (LL);Cultural services;Sediment Retention (SR);Regulation & maintaining
Was wirkt auf dich stimmungsvoller?;ein Ort, der zur Rast und zum Verweilen einlädt;Spuren von Tieren, die typisch für diese Landschaft sind;Recreational Potential (REC);Cultural services;Emblematic Species (ID);Cultural services
Woran würdest du dich eher erfreuen?;ein Bachlauf, der ruhig und klar wirkt;weitläufige Wiesen, die an traditionelles Landleben erinnern;Sediment Retention (SR);Regulation & maintaining;Suitability for Agriculture (FF);Provisioning
